Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
Enero 2017	7,5 	0,0 %	- 0,1 %	- 0,1 %
Diciembre 2016	7,5 	0,0 %	+ 0,4 %	- 0,1 %
Noviembre 2016	7,5 	- 0,1 %	+ 2,2 %	- 1,9 %
Octubre 2016	7,5 	+ 0,5 %	- 0,5 %	0,0 %
Septiembre 2016	7,5 	+ 1,8 %	- 4,4 %	- 0,5 %
Agosto 2016	7,3 	- 2,7 %	- 5,7 %	- 2,2 %
Julio 2016	7,5 	- 3,5 %	- 3,1 %	+ 0,5 %
Junio 2016	7,8 	+ 0,4 %	+ 4,1 %	+ 4,1 %
Mayo 2016	7,8 	0,0 %	+ 3,1 %	+ 2,7 %
Abril 2016	7,8 	+ 3,7 %	+ 3,7 %	0,0 %
Marzo 2016	7,5 	- 0,6 %	0,0 %	- 3,6 %
Febrero 2016	7,5 	+ 0,6 %	- 1,2 %	+ 0,6 %
Enero 2016	7,5 	0,0 %	0,0 %	+ 2,0 %
Diciembre 2015	7,5 	- 1,8 %	0,0 %	+ 1,4 %
Noviembre 2015	7,6 	+ 1,9 %	+ 1,9 %	+ 3,9 %
Octubre 2015	7,5 	0,0 %	0,0 %	+ 5,0 %
Septiembre 2015	7,5 	0,0 %	0,0 %	+ 3,7 %
Agosto 2015	7,5 	0,0 %	- 0,9 %	+ 3,8 %
Julio 2015	7,5 	0,0 %	- 3,6 %	+ 4,7 %
Junio 2015	7,5 	- 0,9 %	- 3,6 %	+ 3,1 %
Mayo 2015	7,6 	- 2,7 %	+ 1,0 %	+ 1,0 %
Abril 2015	7,8 	0,0 %	+ 5,8 %	+ 3,7 %
Marzo 2015	7,8 	+ 3,7 %	+ 5,1 %	+ 5,8 %
Febrero 2015	7,5 	+ 2,0 %	+ 2,0 %	+ 2,0 %
Enero 2015	7,4 	- 0,6 %	+ 2,9 %	+ 0,3 %
Diciembre 2014	7,4 	+ 0,6 %	+ 2,3 %	- 1,3 %
Noviembre 2014	7,4 	+ 2,9 %	+ 1,8 %	- 2,9 %
Octubre 2014	7,1 	- 1,3 %	- 0,3 %	- 4,8 %
Septiembre 2014	7,2 	+ 0,1 %	- 0,5 %	- 3,5 %
Agosto 2014	7,2 	+ 0,8 %	- 3,7 %	- 6,1 %
Julio 2014	7,2 	- 1,5 %	- 4,5 %	- 7,7 %
Junio 2014	7,3 	- 3,0 %	- 1,1 %	- 9,1 %
Mayo 2014	7,5 	0,0 %	+ 2,0 %	- 6,3 %
Abril 2014	7,5 	+ 2,0 %	+ 2,3 %	- 4,3 %
Marzo 2014	7,4 	0,0 %	- 2,0 %	- 2,0 %
Febrero 2014	7,4 	+ 0,3 %	- 2,9 %	- 6,4 %
Enero 2014	7,3 	- 2,2 %	- 2,2 %	- 6,8 %
Diciembre 2013	7,5 	- 0,9 %	0,0 %	- 7,3 %
Noviembre 2013	7,6 	+ 1,0 %	- 1,6 %	- 7,9 %
Octubre 2013	7,5 	0,0 %	- 3,3 %	- 7,3 %
Septiembre 2013	7,5 	- 2,5 %	- 6,3 %	- 10,7 %
Agosto 2013	7,7 	- 0,9 %	- 3,8 %	n.d.
Julio 2013	7,8 	- 3,0 %	- 1,0 %	- 7,6 %
Junio 2013	8,0 	0,0 %	+ 6,7 %	- 11,1 %
Mayo 2013	8,0 	+ 2,1 %	+ 1,8 %	- 12,7 %
Abril 2013	7,8 	+ 4,5 %	- 0,4 %	n.d.
Marzo 2013	7,5 	- 4,5 %	- 7,3 %	n.d.
Febrero 2013	7,9 	- 0,1 %	- 4,4 %	n.d.
Enero 2013	7,9 	- 2,8 %	- 2,8 %	n.d.
Diciembre 2012	8,1 	- 1,6 %	- 3,7 %	n.d.
Noviembre 2012	8,2 	+ 1,6 %	n.d.	n.d.
Octubre 2012	8,1 	- 3,7 %	- 3,7 %	n.d.
Septiembre 2012	8,4 	n.d.	- 6,7 %	n.d.
Agosto 2012	n.d.	n.d.	n.d.	n.d.
Julio 2012	8,4 	- 6,7 %	n.d.	n.d.
Junio 2012	9,0 	- 1,8 %	n.d.	n.d.
Mayo 2012	9,2 	n.d.	n.d.	n.d.
Abril 2012	n.d.	n.d.	n.d.	n.d.
Marzo 2012	n.d.	n.d.	n.d.	n.d.
Febrero 2012	n.d.	n.d.	n.d.	n.d.
Enero 2012	n.d.	n.d.	n.d.	n.d.
Diciembre 2011	n.d.	n.d.	n.d.	n.d.
Noviembre 2011	n.d.	n.d.	n.d.	n.d.
Octubre 2011	n.d.	n.d.	n.d.	n.d.
Septiembre 2011	n.d.	n.d.	n.d.	n.d.
Agosto 2011	n.d.	n.d.	n.d.	n.d.
Julio 2011	n.d.	n.d.	n.d.	n.d.
Junio 2011	n.d.	n.d.	n.d.	n.d.
Mayo 2011	n.d.	n.d.	n.d.	n.d.
Abril 2011	n.d.	n.d.	n.d.	n.d.
Marzo 2011	n.d.	n.d.	n.d.	n.d.
Febrero 2011	n.d.	n.d.	n.d.	n.d.
Enero 2011	n.d.	n.d.	n.d.	n.d.
Diciembre 2010	n.d.	n.d.	n.d.	n.d.
Noviembre 2010	n.d.	n.d.	n.d.	n.d.
Octubre 2010	n.d.	n.d.	n.d.	n.d.
Septiembre 2010	n.d.	n.d.	n.d.	n.d.
Agosto 2010	n.d.	n.d.	n.d.	n.d.
Julio 2010	n.d.	n.d.	n.d.	n.d.
Junio 2010	n.d.	n.d.	n.d.	n.d.
Mayo 2010	n.d.	n.d.	n.d.	n.d.
Abril 2010	n.d.	n.d.	n.d.	n.d.
Marzo 2010	n.d.	n.d.	n.d.	n.d.
Febrero 2010	n.d.	n.d.	n.d.	n.d.
Enero 2010	n.d.	n.d.	n.d.	n.d.
Diciembre 2009	n.d.	n.d.	n.d.	n.d.
Noviembre 2009	n.d.	n.d.	n.d.	n.d.
Octubre 2009	n.d.	n.d.	n.d.	n.d.
Septiembre 2009	n.d.	n.d.	n.d.	n.d.
Agosto 2009	n.d.	n.d.	n.d.	n.d.
Julio 2009	n.d.	n.d.	n.d.	n.d.
Junio 2009	n.d.	n.d.	n.d.	n.d.
Mayo 2009	n.d.	n.d.	n.d.	n.d.
Abril 2009	n.d.	n.d.	n.d.	n.d.
Marzo 2009	n.d.	n.d.	n.d.	n.d.
Febrero 2009	n.d.	n.d.	n.d.	n.d.
Enero 2009	n.d.	n.d.	n.d.	n.d.
Diciembre 2008	n.d.	n.d.	n.d.	n.d.
Noviembre 2008	n.d.	n.d.	n.d.	n.d.
Octubre 2008	n.d.	n.d.	n.d.	n.d.
Septiembre 2008	n.d.	n.d.	n.d.	n.d.
Agosto 2008	n.d.	n.d.	n.d.	n.d.
Julio 2008	n.d.	n.d.	n.d.	n.d.
Junio 2008	n.d.	n.d.	n.d.	n.d.
Mayo 2008	n.d.	n.d.	n.d.	n.d.
Abril 2008	n.d.	n.d.	n.d.	n.d.
Marzo 2008	n.d.	n.d.	n.d.	n.d.
Febrero 2008	n.d.	n.d.	n.d.	n.d.
Enero 2008	n.d.	n.d.	n.d.	n.d.
Diciembre 2007	n.d.	n.d.	n.d.	n.d.
Noviembre 2007	n.d.	n.d.	n.d.	n.d.
Octubre 2007	n.d.	n.d.	n.d.	n.d.
Septiembre 2007	n.d.	n.d.	n.d.	n.d.
Agosto 2007	n.d.	n.d.	n.d.	n.d.
Julio 2007	n.d.	n.d.	n.d.	n.d.
Junio 2007	n.d.	n.d.	n.d.	n.d.
Mayo 2007	n.d.	n.d.	n.d.	n.d.
Abril 2007	n.d.	n.d.	n.d.	n.d.
Marzo 2007	n.d.	n.d.	n.d.	n.d.
Febrero 2007	n.d.	n.d.	n.d.	n.d.
Enero 2007	n.d.	n.d.	n.d.	n.d.
Diciembre 2006	n.d.	n.d.	n.d.	n.d.
Noviembre 2006	n.d.	n.d.	n.d.	n.d.
Octubre 2006	n.d.	n.d.	n.d.	n.d.
Septiembre 2006	n.d.	n.d.	n.d.	n.d.
Agosto 2006	n.d.	n.d.	n.d.	n.d.
Julio 2006	n.d.	n.d.	n.d.	n.d.
Junio 2006	n.d.	n.d.	n.d.	n.d.
Mayo 2006	n.d.	n.d.	n.d.	n.d.
Abril 2006	n.d.	n.d.	n.d.	n.d.
Marzo 2006	n.d.	n.d.	n.d.	n.d.
Febrero 2006	n.d.	n.d.	n.d.	n.d.
Enero 2006	n.d.	n.d.	n.d.	n.d.

