Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
Octubre 2009	2.554	+ 0,6 %	+ 1,2 %	- 3,5 %
Septiembre 2009	2.539	+ 0,5 %	+ 0,3 %	- 2,5 %
Agosto 2009	2.526	+ 0,1 %	- 3,9 %	- 4,9 %
Julio 2009	2.524	- 0,3 %	- 5,0 %	n.d.
Junio 2009	2.531	- 3,7 %	- 5,3 %	n.d.
Mayo 2009	2.628	- 1,1 %	- 0,5 %	n.d.
Abril 2009	2.657	- 0,6 %	+ 3,2 %	n.d.
Marzo 2009	2.674	+ 1,2 %	+ 7,8 %	n.d.
Febrero 2009	2.641	+ 2,6 %	+ 0,8 %	n.d.
Enero 2009	2.574	+ 3,8 %	- 2,8 %	n.d.
Diciembre 2008	2.480	- 5,4 %	- 4,8 %	n.d.
Noviembre 2008	2.620	- 1,0 %	- 1,3 %	n.d.
Octubre 2008	2.648	+ 1,6 %	n.d.	n.d.
Septiembre 2008	2.605	- 1,9 %	n.d.	n.d.
Agosto 2008	2.656	n.d.	n.d.	n.d.
